date,value
1955-05-01,-20
1955-06-01,-11
1955-07-01,-8
1955-08-01,8
1955-09-01,-10
1955-10-01,-3
1955-11-01,-26
1955-12-01,-32
1956-01-01,-16
1956-02-01,-23
1956-03-01,-19
1956-04-01,-24
1956-05-01,-25
1956-06-01,-14
1956-07-01,-10
1956-08-01,-27
1956-09-01,-15
1956-10-01,-22
1956-11-01,-15
1956-12-01,-10
1957-01-01,-11
1957-02-01,-7
1957-03-01,-8
1957-04-01,-1
1957-05-01,5
1957-06-01,13
1957-07-01,-2
1957-08-01,15
1957-09-01,9
1957-10-01,0
1957-11-01,6
1957-12-01,17
1958-01-01,38
1958-02-01,24
1958-03-01,9
1958-04-01,2
1958-05-01,5
1958-06-01,-12
1958-07-01,0
1958-08-01,-8
1958-09-01,-7
1958-10-01,2
1958-11-01,2
1958-12-01,-1
1959-01-01,7
1959-02-01,7
1959-03-01,17
1959-04-01,14
1959-05-01,3
1959-06-01,2
1959-07-01,5
1959-08-01,-1
1959-09-01,-4
1959-10-01,-9
1959-11-01,-8
1959-12-01,1
1960-01-01,-4
1960-02-01,13
1960-03-01,-36
1960-04-01,-17
1960-05-01,-11
1960-06-01,-3
1960-07-01,-5
1960-08-01,-1
1960-09-01,5
1960-10-01,6
1960-11-01,-12
1960-12-01,16
1961-01-01,6
1961-02-01,18
1961-03-01,8
1961-04-01,12
1961-05-01,14
1961-06-01,12
1961-07-01,0
1961-08-01,4
1961-09-01,6
1961-10-01,0
1961-11-01,3
1961-12-01,-16
1962-01-01,7
1962-02-01,15
1962-03-01,11
1962-04-01,7
1962-05-01,-5
1962-06-01,4
1962-07-01,2
1962-08-01,1
1962-09-01,-1
1962-10-01,-1
1962-11-01,8
1962-12-01,0
1963-01-01,-1
1963-02-01,20
1963-03-01,-15
1963-04-01,-6
1963-05-01,-5
1963-06-01,6
1963-07-01,12
1963-08-01,24
1963-09-01,20
1963-10-01,16
1963-11-01,18
1963-12-01,1
1964-01-01,-7
1964-02-01,-11
1964-03-01,-23
1964-04-01,-30
1964-05-01,-24
1964-06-01,-5
1964-07-01,-5
1964-08-01,-23
1964-09-01,-29
1964-10-01,-29
1964-11-01,-18
1964-12-01,-27
1965-01-01,-6
1965-02-01,-17
1965-03-01,-10
1965-04-01,-19
1965-05-01,-12
1965-06-01,-11
1965-07-01,-13
1965-08-01,-4
1965-09-01,-15
1965-10-01,-5
1965-11-01,-6
1965-12-01,-5
1966-01-01,-16
1966-02-01,0
1966-03-01,6
1966-04-01,-12
1966-05-01,-9
1966-06-01,1
1966-07-01,7
1966-08-01,-7
1966-09-01,-1
1966-10-01,-13
1966-11-01,0
1966-12-01,-4
1967-01-01,-5
1967-02-01,-18
1967-03-01,7
1967-04-01,-2
1967-05-01,14
1967-06-01,-8
1967-07-01,1
1967-08-01,2
1967-09-01,-5
1967-10-01,9
1967-11-01,-5
1967-12-01,0
1968-01-01,-20
1968-02-01,-12
1968-03-01,26
1968-04-01,-2
1968-05-01,-11
1968-06-01,-4
1968-07-01,-6
1968-08-01,-8
1968-09-01,-17
1968-10-01,11
1968-11-01,-5
1968-12-01,-13
1969-01-01,-11
1969-02-01,-14
1969-03-01,1
